iter	Logloss
0	0.305062548
1	0.2196466693
2	0.1939828065
3	0.1827332326
4	0.1794823072
5	0.1761412525
6	0.1742479512
7	0.1736041487
8	0.1724016864
9	0.1708708558
10	0.1700809049
11	0.169681795
12	0.1691600322
13	0.1689553278
14	0.1689553162
15	0.1681761719
16	0.1677586276
17	0.1677099667
18	0.1673636693
19	0.167360632
20	0.1669318692
21	0.1662053147
22	0.1659468681
23	0.1659382352
24	0.165185391
25	0.1639944852
26	0.1639943708
27	0.1625459974
28	0.1622425466
29	0.1615825878
30	0.1612760452
31	0.1612759972
32	0.1611057222
33	0.1609282216
34	0.1605774338
35	0.1601000305
36	0.1595726022
37	0.1592523984
38	0.159133154
39	0.1587546552
40	0.1584108753
41	0.157929162
42	0.1578602051
43	0.1569511239
44	0.1565045688
45	0.1563692708
46	0.1551365839
47	0.1548292227
48	0.1546630653
49	0.1543293719
50	0.1541087705
51	0.1536086517
52	0.1533004958
53	0.152146103
54	0.1520237369
55	0.1517147041
56	0.1511996594
57	0.1511298109
58	0.1507657094
59	0.149693713
60	0.1494454496
61	0.1488545866
62	0.1484973594
63	0.1481337531
64	0.1478838203
65	0.1475488298
66	0.1475294519
67	0.1471338807
68	0.1468995286
69	0.1467203699
70	0.1464300022
71	0.1464298642
72	0.1459908018
73	0.1457404187
74	0.1454285848
75	0.1451519347
76	0.1450892264
77	0.1449420392
78	0.144652927
79	0.1442055357
