iter	Passed	Remaining
0	15	1230
1	51	2025
2	100	2584
3	140	2674
4	178	2680
5	224	2772
6	262	2739
7	287	2588
8	324	2561
9	360	2523
10	397	2494
11	433	2456
12	469	2422
13	506	2387
14	530	2300
15	564	2256
16	601	2228
17	637	2194
18	673	2161
19	709	2128
20	745	2094
21	782	2063
22	819	2030
23	849	1981
24	886	1950
25	923	1918
26	956	1876
27	992	1843
28	1030	1812
29	1068	1781
30	1102	1743
31	1141	1712
32	1174	1673
33	1218	1649
34	1284	1651
35	1337	1634
36	1370	1592
37	1405	1553
38	1442	1516
39	1478	1478
40	1514	1440
41	1551	1403
42	1587	1366
43	1620	1326
44	1653	1285
45	1689	1248
46	1724	1210
47	1759	1172
48	1793	1134
49	1828	1097
50	1867	1061
51	1901	1023
52	1940	988
53	1978	952
54	2015	916
55	2050	878
56	2089	843
57	2125	806
58	2166	771
59	2201	733
60	2241	698
61	2278	661
62	2313	624
63	2348	587
64	2384	550
65	2419	513
66	2453	475
67	2492	439
68	2525	402
69	2565	366
70	2603	329
71	2635	292
72	2671	256
73	2707	219
74	2744	182
75	2781	146
76	2818	109
77	2852	73
78	2908	36
79	2943	0
