iter	Passed	Remaining
0	21	1678
1	59	2321
2	104	2691
3	145	2755
4	183	2745
5	240	2967
6	280	2924
7	329	2963
8	367	2901
9	424	2974
10	465	2919
11	507	2874
12	572	2951
13	619	2920
14	691	2997
15	731	2927
16	775	2875
17	810	2792
18	851	2732
19	886	2660
20	922	2592
21	962	2537
22	1003	2487
23	1025	2393
24	1062	2337
25	1101	2287
26	1138	2234
27	1172	2177
28	1210	2128
29	1274	2124
30	1317	2081
31	1369	2053
32	1407	2004
33	1443	1953
34	1485	1910
35	1530	1870
36	1571	1826
37	1613	1783
38	1651	1736
39	1689	1689
40	1724	1640
41	1762	1594
42	1799	1548
43	1835	1501
44	1873	1457
45	1907	1409
46	1940	1362
47	1974	1316
48	2009	1271
49	2046	1228
50	2084	1185
51	2139	1152
52	2178	1109
53	2219	1068
54	2256	1025
55	2291	982
56	2325	938
57	2359	894
58	2397	853
59	2433	811
60	2467	768
61	2503	726
62	2541	685
63	2579	644
64	2614	603
65	2653	562
66	2701	524
67	2749	485
68	2787	444
69	2828	404
70	2863	362
71	2901	322
72	2936	281
73	2973	241
74	3012	200
75	3050	160
76	3090	120
77	3137	80
78	3193	40
79	3234	0
