iter	Passed	Remaining
407	5013	7274
408	5026	7263
409	5038	7251
410	5051	7238
411	5063	7226
412	5075	7213
413	5087	7200
414	5098	7187
415	5110	7174
416	5122	7161
417	5133	7148
418	5145	7134
419	5156	7121
420	5170	7110
421	5182	7098
422	5194	7085
423	5206	7072
424	5217	7059
425	5229	7046
426	5241	7034
427	5260	7031
428	5273	7018
429	5285	7005
430	5296	6992
431	5308	6979
432	5320	6966
433	5332	6954
434	5343	6940
435	5355	6928
436	5367	6914
437	5379	6902
438	5392	6890
439	5404	6878
440	5417	6867
441	5430	6856
442	5443	6844
443	5456	6832
444	5468	6819
445	5480	6807
446	5492	6794
447	5504	6782
448	5517	6770
449	5529	6758
450	5541	6746
451	5555	6735
452	5571	6728
453	5585	6717
454	5598	6705
455	5611	6694
456	5623	6681
457	5635	6669
458	5647	6656
459	5660	6644
460	5672	6632
461	5683	6618
462	5695	6605
463	5707	6592
464	5718	6579
465	5730	6566
466	5743	6554
467	5755	6542
468	5767	6530
469	5779	6517
470	5791	6504
471	5803	6492
472	5817	6481
473	5829	6469
474	5843	6458
475	5855	6446
476	5869	6435
477	5881	6422
