iter	Logloss
0	0.6915874186
1	0.6897594276
2	0.6882502519
3	0.686530398
4	0.6851165364
5	0.6835942072
6	0.6821797978
7	0.680653611
8	0.6791339549
9	0.6776279127
10	0.676223496
11	0.6748428459
12	0.6734314829
13	0.6720317798
14	0.6706319552
15	0.6692665658
16	0.6680188986
17	0.6668448511
18	0.6657358591
19	0.6645273
20	0.663332807
21	0.6621953025
22	0.6610599389
23	0.6599358199
24	0.6589415559
25	0.6579535495
26	0.656991909
27	0.6558966225
28	0.6547762973
29	0.6538118532
30	0.6529669778
31	0.6520147211
32	0.6511253381
33	0.6501567681
34	0.649192413
35	0.6482008138
36	0.6472474317
37	0.6463192931
38	0.6454035607
39	0.6446701285
40	0.6439683399
41	0.6431331526
42	0.6423665244
43	0.6415758998
44	0.6409281426
45	0.6402672898
46	0.6395595508
47	0.6388466525
48	0.6380873173
49	0.6374037297
50	0.6366457827
51	0.6358922839
52	0.6352124326
53	0.6345107688
54	0.633961524
55	0.6333678331
56	0.6327411529
57	0.632169703
58	0.6315193616
59	0.6309303867
60	0.6303541739
61	0.6297993568
62	0.6292158831
63	0.6286331856
64	0.6279805612
65	0.6273593039
66	0.6268440855
67	0.6263313867
68	0.6257723927
69	0.6251912262
70	0.6246678587
71	0.6241787965
72	0.6237342416
73	0.6232334736
74	0.6228656851
75	0.6223799982
76	0.6219179385
77	0.6215095372
78	0.6210988546
79	0.6205926338
80	0.6201413142
81	0.6197088146
82	0.6192992845
83	0.618930913
84	0.6185135751
85	0.6180853594
86	0.6176299716
87	0.6171782667
88	0.6167734274
89	0.616351094
90	0.6159975431
91	0.6156753731
92	0.6153530095
93	0.6150369126
94	0.6146593351
95	0.6142928809
96	0.6140371551
97	0.6136501644
98	0.6130646709
99	0.6127562335
100	0.6123839565
101	0.6120402894
102	0.6117205895
103	0.6114152923
104	0.6110350013
105	0.6106951709
106	0.6103484244
107	0.6099927969
108	0.609620923
109	0.6093042887
110	0.6089366048
111	0.6085056491
112	0.6082479779
113	0.6079999335
114	0.6076948721
115	0.6072817557
116	0.6069943769
117	0.6067198422
118	0.6064417931
119	0.606146003
120	0.6058181281
121	0.6054430976
122	0.6050773476
123	0.6048232354
124	0.6045162734
125	0.604144837
126	0.6038728517
127	0.603669362
128	0.6034373769
129	0.6032381782
130	0.6030625965
131	0.6028732611
132	0.6024486031
133	0.6022039347
134	0.6019612753
135	0.6017648035
136	0.6015850714
137	0.6012889159
138	0.601120628
139	0.6008659234
140	0.6006508064
141	0.6004058444
142	0.6001172349
143	0.599846758
144	0.5996604499
145	0.5994043242
146	0.599184608
147	0.5989661328
148	0.5988216297
149	0.5986429141
150	0.5983688983
151	0.5981621992
152	0.5978796215
153	0.5977244449
154	0.5974195174
155	0.5972441312
156	0.5970553884
157	0.5968206841
158	0.5965997308
159	0.5964196905
160	0.5962700829
161	0.5960532251
162	0.5957935734
163	0.5955994903
164	0.5954332826
165	0.5952929489
166	0.5951474085
167	0.5949108939
168	0.5947999759
169	0.5946085667
170	0.5944168188
171	0.5942850374
172	0.5941357052
173	0.5938971818
174	0.5937677701
175	0.5935659098
176	0.5933813168
177	0.5931736429
178	0.5930222505
179	0.5928337188
180	0.5926911175
181	0.5925894536
182	0.5924095102
183	0.592195797
184	0.5920778288
185	0.5918876249
186	0.5917430305
187	0.5915977194
188	0.5914910786
189	0.5913144297
190	0.5911662648
191	0.5910482556
192	0.5908740386
193	0.5907471759
194	0.5905041146
195	0.5903209623
196	0.5901518907
197	0.5899473218
198	0.5897834153
199	0.5896131684
200	0.5893698143
201	0.5892381843
202	0.5890923915
203	0.5889626534
204	0.5888305517
205	0.5886372653
206	0.5885275371
207	0.5883830687
208	0.5882404893
209	0.5880009275
210	0.5879103168
211	0.5877483316
212	0.587589035
213	0.5874509607
214	0.5873458209
215	0.5872071141
216	0.5870440692
217	0.5868954883
218	0.586793485
219	0.5866622939
220	0.5865471757
221	0.5864179267
222	0.5862837292
223	0.5861275639
224	0.5860210408
225	0.5858552873
226	0.5857090595
227	0.5856091506
228	0.5854805775
229	0.58534295
230	0.5852024947
231	0.5850950341
232	0.5849887845
233	0.5848456011
234	0.5846418709
235	0.5844517501
236	0.5843547665
237	0.5841814578
238	0.5840384493
239	0.5839556818
240	0.5838188756
241	0.5836808944
242	0.5835391184
243	0.5833747019
244	0.5833009937
245	0.5831943254
246	0.5831019168
247	0.5828911582
248	0.5827721814
249	0.5826730736
250	0.5825610091
251	0.5824594517
252	0.5823727314
253	0.5822596982
254	0.5821626848
255	0.582001246
256	0.581909109
257	0.5817943509
258	0.5816988462
259	0.5815923295
260	0.5814800801
261	0.5813569188
262	0.5812627302
263	0.5811385968
264	0.5810919904
265	0.5809615972
266	0.5808552142
267	0.580758899
268	0.5806488022
269	0.5805217438
270	0.5804264665
271	0.5803440961
272	0.5803019264
273	0.5802190452
274	0.5801538502
275	0.5800964962
276	0.5800259278
277	0.5799216276
278	0.5797619712
279	0.5796312055
280	0.5795418185
281	0.5794561442
282	0.5793288653
283	0.5792422192
284	0.5791126971
285	0.5790208115
286	0.578937968
287	0.5788117798
288	0.5787431263
289	0.5786616495
290	0.5785244407
291	0.5784215123
292	0.5783072907
293	0.5782160739
294	0.5780778265
295	0.5779080522
296	0.5777961866
297	0.5776959901
298	0.5776462265
299	0.5775712783
300	0.5774581156
301	0.577425332
302	0.5773062611
303	0.5771921616
304	0.5770265316
305	0.5768625123
306	0.576814437
307	0.5767241703
308	0.5765662983
309	0.5765071447
310	0.5764307332
311	0.5763549184
312	0.5762588953
313	0.5761941944
314	0.5761073845
315	0.5760105937
316	0.5759195248
317	0.5758368982
318	0.5757046031
319	0.5756496446
320	0.5755835563
321	0.5754886637
322	0.5753918465
323	0.5753113754
324	0.5751688779
325	0.5751027447
326	0.5750004498
327	0.574814023
328	0.5747161874
329	0.5746467871
330	0.5746026121
331	0.5744790976
332	0.5743641339
333	0.5742647958
334	0.5741657812
335	0.5740702156
336	0.5739578749
337	0.5738415964
338	0.5737729113
339	0.5736749216
340	0.5736018875
341	0.5735092524
342	0.573408644
343	0.5733179262
344	0.5732341624
345	0.5731723055
346	0.5730983606
347	0.5730269767
348	0.5729753382
349	0.572935293
350	0.57285014
351	0.5727383472
352	0.5726634556
353	0.5725481842
354	0.5724851607
355	0.5724097218
356	0.5722600455
357	0.5721721878
358	0.5720891924
359	0.5719667587
360	0.5718819626
361	0.5718263863
362	0.5716689707
363	0.5716082162
364	0.5715482826
365	0.5714419294
366	0.571381748
367	0.5712671311
368	0.5712070482
369	0.5711115516
370	0.5710454327
371	0.5709742874
372	0.5708832416
373	0.5707800158
374	0.5707194125
375	0.5706079338
376	0.5705786815
377	0.5704454667
378	0.5704065092
379	0.5702939992
380	0.5702146093
381	0.5701655675
382	0.5701011865
383	0.5700020336
384	0.5699591506
385	0.569885541
386	0.5698393184
387	0.5697778823
388	0.5697280972
389	0.5696167323
390	0.5695458903
391	0.5694928547
392	0.5694542231
393	0.5693647443
394	0.5692927916
395	0.5692020743
396	0.5691273526
397	0.5690949316
398	0.5689499616
399	0.5688422213
400	0.5687313034
401	0.5686730755
402	0.5685594935
403	0.5684842169
404	0.5684239563
405	0.5682447435
406	0.5681043032
407	0.5680305521
408	0.5679812569
409	0.5678704347
410	0.567778749
411	0.5676945945
412	0.5676410398
413	0.567494222
414	0.5674124905
415	0.5673569716
416	0.5671716898
417	0.5671040751
418	0.5670678747
419	0.5670057228
420	0.5669066641
421	0.56683536
422	0.5667953752
423	0.5667280993
424	0.5666932084
425	0.5666234903
426	0.5665718056
427	0.566525016
428	0.566446545
429	0.566387873
430	0.5662728987
431	0.5661769253
432	0.566049224
433	0.5660014727
434	0.5659400253
435	0.5658931822
436	0.5658115446
437	0.5657476297
438	0.5656495183
439	0.5655630114
440	0.5655084193
441	0.565463286
442	0.5653822626
443	0.5652395612
444	0.5651816258
445	0.5651337613
446	0.5650883266
447	0.5649038496
448	0.5648432142
449	0.5647629696
450	0.5646909333
451	0.564617045
452	0.5645278125
453	0.5644534844
454	0.564379357
455	0.5643030338
456	0.5642533484
457	0.5642013961
458	0.5641423452
459	0.5641010557
460	0.5640381067
461	0.5639058404
462	0.5638352792
463	0.5638083862
464	0.5637575746
465	0.5636844399
466	0.5636377541
467	0.5636050599
468	0.5635060811
469	0.5634356592
470	0.5633926538
471	0.5633367596
472	0.5632575001
473	0.563218677
474	0.5631619202
475	0.5630995839
476	0.5630469696
477	0.5630091315
