iter	Passed	Remaining
0	20	1625
1	43	1683
2	78	2003
3	116	2211
4	153	2300
5	190	2346
6	244	2553
7	279	2515
8	316	2493
9	351	2462
10	390	2449
11	427	2419
12	465	2398
13	501	2365
14	537	2330
15	572	2291
16	607	2249
17	643	2217
18	680	2186
19	721	2163
20	755	2123
21	791	2085
22	830	2059
23	865	2018
24	898	1977
25	931	1934
26	967	1899
27	1002	1862
28	1038	1826
29	1073	1789
30	1108	1752
31	1143	1715
32	1180	1681
33	1225	1658
34	1277	1642
35	1319	1612
36	1355	1574
37	1393	1540
38	1428	1501
39	1462	1462
40	1496	1423
41	1542	1395
42	1581	1360
43	1619	1324
44	1654	1287
45	1693	1251
46	1728	1213
47	1764	1176
48	1800	1139
49	1838	1103
50	1879	1068
51	1921	1034
52	1982	1010
53	2027	975
54	2068	940
55	2102	901
56	2150	867
57	2191	831
58	2235	795
59	2279	759
60	2326	724
61	2368	687
62	2404	648
63	2438	609
64	2473	570
65	2512	532
66	2547	494
67	2601	459
68	2643	421
69	2682	383
70	2726	345
71	2766	307
72	2806	269
73	2854	231
74	2891	192
75	2950	155
76	2988	116
77	3023	77
78	3062	38
79	3100	0
