iter	Logloss
0	0.3049766686
1	0.2201885844
2	0.1951848531
3	0.1868545735
4	0.1812190021
5	0.1794403442
6	0.175097658
7	0.1741149075
8	0.1728089759
9	0.171840234
10	0.1709562066
11	0.1699220661
12	0.1697719023
13	0.1691869388
14	0.168753573
15	0.167775316
16	0.1674676465
17	0.1671333054
18	0.1669671281
19	0.1657422083
20	0.1653035245
21	0.1646898781
22	0.1645807492
23	0.1644808801
24	0.1642650524
25	0.1636082746
26	0.1631066348
27	0.1625207201
28	0.161636861
29	0.1608284487
30	0.1604038277
31	0.1599769861
32	0.1597759637
33	0.1593432936
34	0.1592386354
35	0.1588455391
36	0.1582961391
37	0.1578447988
38	0.1576822598
39	0.1576393346
40	0.1568024047
41	0.1566627109
42	0.1562569694
43	0.1557182547
44	0.1551717024
45	0.1545414717
46	0.1544222531
47	0.1542117986
48	0.1540040561
49	0.1532970008
50	0.1531488612
51	0.1525966797
52	0.1524807815
53	0.152112607
54	0.1518503759
55	0.151776279
56	0.1513018195
57	0.1511351662
58	0.151041712
59	0.1509375183
60	0.1507392992
61	0.1502548628
62	0.1488010645
63	0.1481889329
64	0.1477690066
65	0.1475635288
66	0.1468724586
67	0.1464535287
68	0.1460711048
69	0.145553783
70	0.1454795686
71	0.1453269229
72	0.1448152875
73	0.1446919534
74	0.1443652734
75	0.1441520513
76	0.1435974634
77	0.1434079807
78	0.1432726378
79	0.1427914549
