iter	Passed	Remaining
0	16	1280
1	54	2109
2	94	2415
3	131	2506
4	171	2567
5	213	2627
6	251	2618
7	287	2583
8	323	2555
9	360	2523
10	394	2477
11	432	2450
12	463	2389
13	506	2386
14	539	2337
15	576	2306
16	610	2264
17	647	2230
18	687	2207
19	726	2178
20	763	2145
21	799	2107
22	836	2072
23	874	2041
24	912	2006
25	948	1969
26	989	1941
27	1026	1905
28	1059	1863
29	1095	1825
30	1130	1787
31	1168	1753
32	1208	1720
33	1258	1702
34	1301	1672
35	1339	1637
36	1376	1600
37	1415	1563
38	1450	1524
39	1486	1486
40	1524	1449
41	1560	1412
42	1594	1371
43	1627	1331
44	1665	1295
45	1707	1262
46	1742	1223
47	1786	1190
48	1837	1162
49	1874	1124
50	1911	1086
51	1946	1048
52	1983	1010
53	2018	972
54	2054	933
55	2091	896
56	2127	858
57	2164	821
58	2198	782
59	2233	744
60	2273	708
61	2311	670
62	2345	632
63	2383	595
64	2421	558
65	2459	521
66	2495	484
67	2530	446
68	2566	409
69	2606	372
70	2643	335
71	2677	297
72	2712	260
73	2748	222
74	2783	185
75	2819	148
76	2857	111
77	2890	74
78	2923	37
79	2961	0
