iter	Logloss
0	0.6867966763
1	0.6813802163
2	0.6754837
3	0.6687435923
4	0.6626564338
5	0.6562948544
6	0.6507849203
7	0.6443929052
8	0.6387440045
9	0.6332718389
10	0.6281473384
11	0.6225541006
12	0.6168033512
13	0.6104242841
14	0.6047673817
15	0.599120667
16	0.5939302349
17	0.5890833402
18	0.5829410992
19	0.577422365
20	0.5721760269
21	0.5664075824
22	0.5612360752
23	0.5562386703
24	0.5509478613
25	0.5465549036
26	0.5419903358
27	0.5366855899
28	0.531669457
29	0.5274683583
30	0.5231677262
31	0.5189734443
32	0.514731278
33	0.5105180291
34	0.5065711113
35	0.5028126399
36	0.4975978609
37	0.493577313
38	0.48979671
39	0.4860365152
40	0.4821308223
41	0.478224268
42	0.4740182257
43	0.4701474516
44	0.466314532
45	0.4622841144
46	0.458319089
47	0.453913997
48	0.4501336769
49	0.4464411736
50	0.443119218
51	0.4398909096
52	0.4364012122
53	0.4327771087
54	0.4295182236
55	0.426464537
56	0.4221817156
57	0.4188546908
58	0.4151338267
59	0.4115469086
60	0.4083361777
61	0.4056826909
62	0.4022982053
63	0.3995051924
64	0.3957763378
65	0.3927528775
66	0.3893823731
67	0.3867526229
68	0.3838076655
69	0.3807615733
70	0.3777304773
71	0.3747071485
72	0.3714693407
73	0.3688816428
74	0.3656728113
75	0.3630043455
76	0.360186404
77	0.3575676405
78	0.3552700698
79	0.351748877
80	0.3487087297
81	0.3459313631
82	0.3432601591
83	0.3406958588
84	0.3378000808
85	0.3344673244
86	0.3320315488
87	0.3294354645
88	0.3271461976
89	0.3245916939
90	0.3226700902
91	0.3199731839
92	0.3172725066
93	0.3147733867
94	0.3121236436
95	0.3094842668
96	0.307175223
97	0.304207687
98	0.3018858604
99	0.2994028592
100	0.2971870947
101	0.2952451201
102	0.2928358209
103	0.2903913379
104	0.2883639741
105	0.2856459248
106	0.2827070848
107	0.2804942977
108	0.2784876211
109	0.2766694379
110	0.2747406594
111	0.2726032992
112	0.270456084
113	0.2679914812
114	0.2661301446
115	0.2637907628
116	0.2618884989
117	0.259323707
118	0.2571663956
119	0.2552564096
120	0.2534233348
121	0.2513416068
122	0.2496319218
123	0.247730453
124	0.2461442697
125	0.2445903798
126	0.2427288071
127	0.2407870634
128	0.2384267346
129	0.2369084203
130	0.2354627339
131	0.2339241107
132	0.2325111767
133	0.2309798372
134	0.2288369811
135	0.2271151463
136	0.2256990023
137	0.2237816381
138	0.2218090026
139	0.2200352863
140	0.2182287725
141	0.2171020297
142	0.2157238797
143	0.213788412
144	0.2122691762
145	0.2109774594
146	0.2094791438
147	0.2079490638
148	0.2064229826
149	0.2050959349
150	0.2038900624
151	0.2026042918
152	0.2013446109
153	0.1999483188
154	0.1985834165
155	0.1973634368
156	0.1962639336
157	0.1951245509
158	0.1934308296
159	0.1923530936
160	0.191208783
161	0.189822341
162	0.1885198681
163	0.1871512147
164	0.1859538078
165	0.1848001786
166	0.1835262078
167	0.1825487628
168	0.1813333509
169	0.1802988827
170	0.1793252065
171	0.1782403147
172	0.1769433971
173	0.175991526
174	0.1748907048
175	0.1734171228
176	0.172403876
177	0.171203415
178	0.170059124
179	0.1689285964
180	0.1677352746
181	0.1667279065
182	0.1658332175
183	0.1646718069
184	0.1635289252
185	0.1625157807
186	0.1616242284
187	0.1606774855
188	0.1597139213
189	0.1588574535
190	0.1576380406
191	0.1566704094
192	0.1555634121
193	0.1544692141
194	0.1534999488
195	0.1526623279
196	0.1515475492
197	0.1506682738
198	0.1496603888
199	0.1487390204
200	0.1478224283
201	0.1468041454
202	0.1458438188
203	0.1449875919
204	0.1438689627
205	0.1425896778
206	0.141740492
207	0.1407781859
208	0.1398998872
209	0.1390080603
210	0.1381531248
211	0.1372560128
212	0.1364765278
213	0.1357085019
214	0.1347466022
215	0.1341388685
216	0.1333893132
217	0.1326204642
218	0.1318442887
219	0.1311138709
220	0.1302934768
221	0.1294206663
222	0.1286359857
223	0.1279009382
224	0.1271589446
225	0.1264516409
226	0.1257680841
227	0.1250425746
228	0.1241874631
229	0.1234852078
230	0.1227096945
231	0.1220162765
232	0.1214302349
233	0.1206512642
234	0.1198769987
235	0.1193104277
236	0.1186705325
237	0.1180687471
238	0.1173943895
239	0.1168064437
240	0.1161265683
241	0.1156013966
242	0.1149975536
243	0.1143317254
244	0.1136406467
245	0.1130424009
246	0.1124897105
247	0.1117326061
248	0.1112100516
249	0.110655634
250	0.1100514462
251	0.1095009998
252	0.1088584916
253	0.1082789584
254	0.1078263475
255	0.1072006148
256	0.1066020226
257	0.1060527351
258	0.1055405227
259	0.1050532832
260	0.1044320579
261	0.1038949408
262	0.1034582462
263	0.1028779155
264	0.102256517
265	0.1017163032
266	0.1012289874
267	0.1007848871
268	0.1002836859
269	0.09970075051
270	0.09920357724
271	0.09874410331
272	0.09802663724
273	0.0974854064
274	0.09704901059
275	0.09650283694
276	0.09602002064
277	0.09553709845
278	0.0950324592
279	0.09454095264
280	0.09408933729
281	0.0936475124
282	0.09303640217
283	0.09257142186
284	0.09212338765
285	0.09159959545
286	0.09116157562
287	0.09066489021
288	0.0901084879
289	0.08960045606
290	0.08915668319
291	0.08867546856
292	0.0880722781
293	0.08760261416
294	0.087072981
295	0.08664163242
296	0.08618493984
297	0.08581156443
298	0.08538973828
299	0.08496713082
300	0.08455366691
301	0.08411345581
302	0.08374227375
303	0.0834437115
304	0.08305389464
305	0.08268794368
306	0.08223553111
307	0.08183530768
308	0.0814038826
309	0.08087468525
310	0.08052928587
311	0.08012666861
312	0.07974398295
313	0.07931899031
314	0.07890890022
315	0.07847685804
316	0.07789501935
317	0.0775059402
318	0.07716148665
319	0.07688283354
320	0.07638656527
321	0.07598760545
322	0.07557999521
323	0.07519088984
324	0.07486039201
325	0.07446848899
326	0.07409514666
327	0.07373487691
328	0.07340573291
329	0.07297864954
330	0.07250307719
331	0.07215434144
332	0.07172118197
333	0.0713493224
334	0.07107676248
335	0.07071459889
336	0.07043175757
337	0.07012276202
338	0.06980981698
339	0.06940427502
340	0.06911346624
341	0.06882438332
342	0.06848542452
343	0.06820943862
344	0.06791236788
345	0.06759471645
346	0.06724395553
347	0.06702230722
348	0.06670768927
349	0.06645352344
350	0.06619503021
351	0.06581972529
352	0.06553733528
353	0.0651684474
354	0.06494835367
355	0.06462509513
356	0.06434442192
357	0.06407582839
358	0.06384582986
359	0.06361754715
360	0.06329092493
361	0.06305253694
362	0.06284049849
363	0.06262119949
364	0.06228436788
365	0.06203820884
366	0.06178433408
367	0.06150776327
368	0.06118832966
369	0.06094084809
370	0.06060033967
371	0.06030195683
372	0.06007251471
373	0.0598116685
374	0.05953293373
375	0.05930351506
376	0.0590776966
377	0.05881537924
378	0.0584790658
379	0.05819856067
380	0.05793901324
381	0.05770786275
382	0.05746419201
383	0.05725135336
384	0.05698075453
385	0.05681233307
386	0.05657618145
387	0.05624146154
388	0.05606692592
389	0.05585484852
390	0.05560246418
391	0.05538040588
392	0.05517374853
393	0.05492106497
394	0.0546806409
395	0.05450416128
396	0.054277789
397	0.05403809249
398	0.05374095331
399	0.05352782289
400	0.05334181706
401	0.05309471865
402	0.05290730874
403	0.05272161891
404	0.05239823302
405	0.05212037663
406	0.05192218602
407	0.05171281089
408	0.05156100601
409	0.05139754087
410	0.05119073987
411	0.05102361411
412	0.05079025636
413	0.05058841894
414	0.05032800337
415	0.05014388959
416	0.04997165491
417	0.04977749368
418	0.04957968354
419	0.04935984304
420	0.04916837096
421	0.04897894025
422	0.04884537131
423	0.04862913668
424	0.04840705484
425	0.04822907984
426	0.04798050612
427	0.04780453453
428	0.04762816558
429	0.04747370859
430	0.04732048492
